"dist","harv_price","lean_price"
"Chingola",474.477406713094,592.934458672621
"Chipata",586.84231178753,650.969208459868
"Choma",468.179253196677,606.029454261987
"Isoka",448.417531571511,587.360819905258
"Kabwe",504.919807422997,662.151903892416
"Kalomo",473.87862129668,605.659443282401
"Kalulushi",530.460241723217,737.317553084533
"Kaoma",518.203220390114,734.098607348479
"Kasama",488.44297127674,693.438060178382
"Kasempa",427.226631866316,698.736799040207
"Kawambwa",476.563251937795,715.740784745519
"Kitwe",551.499694621351,728.546078888558
"Livingstone",555.098477832007,718.332053968018
"Luangwa",626.562730327796,750.714941204105
"Luanshya",575.885352371872,707.419445913748
"Lusaka",608.325440387424,738.348981426009
"Luwingu",456.151090035756,611.413677185215
"Mansa",488.438461708449,748.695427161539
"Mazabuka",532.325717460632,721.490260411288
"Mbala",534.447947296379,695.986843343724
"Mkushi",449.891436602701,660.248569622924
"Monze",501.427678616104,674.912492748561
"Mufulira",580.699275474349,714.309420161704
"Mumbwa",536.95828123824,597.742080231805
"Mwense",485.060425729886,765.038913818889
"Mwinilunga",526.108353530408,747.632727635547
"Nchelenge",491.455139407356,720.808806703478
"Petauke",465.893794353323,575.812926890816
"Samfya",480.5453290801,759.008459456137
"Senanga",535.643202377568,634.049525828073
"Serenje",481.141616388977,633.430237004268
"Solwezi",522.491450221037,683.176367366328
