date,value
7/27/2018,0.7557
7/26/2018,0.7563
7/25/2018,0.751
7/24/2018,0.7312
7/23/2018,0.7277
7/20/2018,0.733
7/19/2018,0.7369
7/18/2018,0.7545
7/17/2018,0.7561
7/16/2018,0.7529
7/13/2018,0.7437
7/12/2018,0.734
7/11/2018,0.7258
7/10/2018,0.7242
7/9/2018,0.7249
7/6/2018,0.7201
7/5/2018,0.7227
7/4/2018,0.722
7/3/2018,0.7296
7/2/2018,0.7265
6/29/2018,0.7222
6/28/2018,0.7205
6/27/2018,0.7301
6/26/2018,0.7282
6/25/2018,0.7336
6/22/2018,0.743
6/21/2018,0.7368
6/20/2018,0.7319
6/19/2018,0.7172
6/18/2018,0.7396
6/15/2018,0.7434
6/14/2018,0.7557
6/13/2018,0.754
6/12/2018,0.7711
6/11/2018,0.7773
6/8/2018,0.7635
6/7/2018,0.7971
6/6/2018,0.7868
6/5/2018,0.8068
6/4/2018,0.8158
6/1/2018,0.8161
5/31/2018,0.8273
5/30/2018,0.8181
5/29/2018,0.8217
5/28/2018,0.8332
5/25/2018,0.8305
5/24/2018,0.8265
5/23/2018,0.8095
5/22/2018,0.8149
5/21/2018,0.7922
5/18/2018,0.8077
5/17/2018,0.8061
5/16/2018,0.7946
5/15/2018,0.8019
5/14/2018,0.8108
5/11/2018,0.8039
5/10/2018,0.7921
5/9/2018,0.7836
5/8/2018,0.7951
5/7/2018,0.8043
5/4/2018,0.792
5/3/2018,0.7879
5/2/2018,0.7913
4/30/2018,0.7986
4/26/2018,0.7863
4/25/2018,0.771
4/24/2018,0.7762
4/23/2018,0.7747
4/20/2018,0.7898
4/19/2018,0.7967
4/18/2018,0.7936
4/17/2018,0.7959
4/16/2018,0.7912
4/13/2018,0.7898
4/12/2018,0.79
4/11/2018,0.7868
4/10/2018,0.7817
4/9/2018,0.7831
4/6/2018,0.7813
4/5/2018,0.7907
4/4/2018,0.7868
4/3/2018,0.7998
3/29/2018,0.8021
3/28/2018,0.8132
3/27/2018,0.8124
3/26/2018,0.8169
3/23/2018,0.8034
3/22/2018,0.8099
3/20/2018,0.7935
3/19/2018,0.7863
3/16/2018,0.8006
3/15/2018,0.8139
3/14/2018,0.8186
3/13/2018,0.8152
3/12/2018,0.8193
3/9/2018,0.8129
3/8/2018,0.8111
3/7/2018,0.8206
3/6/2018,0.8234
3/5/2018,0.8144
3/2/2018,0.821
3/1/2018,0.822
2/28/2018,0.8294
2/27/2018,0.84
2/26/2018,0.8438
2/23/2018,0.8485
2/22/2018,0.8406
2/21/2018,0.8386
2/20/2018,0.8407
2/19/2018,0.8444
2/16/2018,0.845
2/15/2018,0.8405
2/14/2018,0.8262
2/13/2018,0.8188
2/12/2018,0.8123
2/9/2018,0.809
2/8/2018,0.8072
2/7/2018,0.8182
2/6/2018,0.8104
2/5/2018,0.8159
2/2/2018,0.8232
2/1/2018,0.8232
1/31/2018,0.8215
1/30/2018,0.8127
1/29/2018,0.8091
1/26/2018,0.8229
1/25/2018,0.8153
1/24/2018,0.8149
1/23/2018,0.8094
1/22/2018,0.8086
1/19/2018,0.8102
1/18/2018,0.7983
1/17/2018,0.7964
1/16/2018,0.8018
1/15/2018,0.7964
1/12/2018,0.7952
1/11/2018,0.7904
1/10/2018,0.7893
1/9/2018,0.8038
1/8/2018,0.8185
1/5/2018,0.8184
1/4/2018,0.8231
1/3/2018,0.812
1/2/2018,0.8189
12/29/2017,0.8154
12/28/2017,0.8098
12/27/2017,0.7881
12/22/2017,0.768
12/21/2017,0.7679
12/20/2017,0.7725
12/19/2017,0.7665
12/18/2017,0.7613
12/15/2017,0.7385
12/14/2017,0.7354
12/13/2017,0.7346
12/12/2017,0.7452
12/11/2017,0.7467
12/8/2017,0.7501
12/7/2017,0.7602
12/6/2017,0.7708
12/5/2017,0.7652
12/4/2017,0.7325
12/1/2017,0.7428
11/30/2017,0.7381
11/29/2017,0.7402
11/28/2017,0.7334
11/27/2017,0.7225
11/24/2017,0.7279
11/23/2017,0.73
11/22/2017,0.7228
11/21/2017,0.7109
11/20/2017,0.7162
11/17/2017,0.7054
11/16/2017,0.6995
11/15/2017,0.6989
11/14/2017,0.6857
11/13/2017,0.6861
11/10/2017,0.6916
11/9/2017,0.7007
11/8/2017,0.7045
11/7/2017,0.7082
11/6/2017,0.708
11/3/2017,0.7146
11/2/2017,0.7171
11/1/2017,0.7097
10/31/2017,0.712
10/30/2017,0.7112
