"DIST","prod","year"
"Chadiza",1014570,1999
"Chama",578340,1999
"Chavuma",14670,1999
"Chibombo",1420290,1999
"Chienge",21870,1999
"Chililabombwe",197190,1999
"Chilubi",90,1999
"Chingola",131130,1999
"Chinsali",77490,1999
"Chipata",3526020,1999
"Choma",1363860,1999
"Chongwe",483120,1999
"Gwembe",17190,1999
"Isoka",205650,1999
"Itezhi-tezhi",146160,1999
"Kabompo",129150,1999
"Kabwe Urban",292140,1999
"Kafue",434880,1999
"Kalabo",145980,1999
"Kalomo",1517850,1999
"Kalulushi",259200,1999
"Kaoma",516510,1999
"Kapiri Mposhi",760230,1999
"Kaputa",90270,1999
"Kasama",173970,1999
"Kasempa",181710,1999
"Katete",2631330,1999
"Kawambwa",220770,1999
"Kazungula",245160,1999
"Kitwe",151020,1999
"Livingstone",77400,1999
"Luangwa",82080,1999
"Luanshya",159840,1999
"Lufwanyama",271710,1999
"Lukulu",111330,1999
"Lundazi",1717290,1999
"Luwingu",84960,1999
"Mambwe",491670,1999
"Mansa",117270,1999
"Masaiti",469170,1999
"Mazabuka",2088360,1999
"Mbala",360090,1999
"Milenge",83160,1999
"Mkushi",336150,1999
"Mongu",147870,1999
"Monze",1452150,1999
"Mpika",258300,1999
"Mpongwe",542340,1999
"Mporokoso",99990,1999
"Mpulungu",54900,1999
"Mufulira",44100,1999
"Mufumbwe",61920,1999
"Mumbwa",1362600,1999
"Mungwi",165690,1999
"Mwense",62910,1999
"Mwinilunga",67680,1999
"Nakonde",126720,1999
"Namwala",817920,1999
"Nchelenge",136980,1999
"Nyimba",476730,1999
"Petauke",3101760,1999
"Samfya",59040,1999
"Senanga",402840,1999
"Serenje",351720,1999
"Sesheke",256320,1999
"Shangombo",164160,1999
"Siavonga",175050,1999
"Sinazongwe",274320,1999
"Solwezi",434880,1999
"Zambezi",33300,1999
"Chadiza",102548.5,2000
"Chama",64404,2000
"Chavuma",7235,2000
"Chibombo",474734.2,2000
"Chienge",17285.6,2000
"Chililabombwe",52103,2000
"Chilubi",2513.8,2000
"Chingola",68089.2,2000
"Chinsali",17409.72,2000
"Chipata",437016.7,2000
"Choma",506233.6,2000
"Chongwe",88088.6,2000
"Gwembe",26721,2000
"Isoka",60853.6,2000
"Itezhi-tezhi",54810,2000
"Kabompo",29938,2000
"Kabwe Urban",94347,2000
"Kafue",170076,2000
"Kalabo",15370.25,2000
"Kalomo",549715.2,2000
"Kalulushi",35786,2000
