search,lat,lon,location_type,formatted,mkt
"Kabwe Urban,Zambia",-14.4285061,28.451357,APPROXIMATE,"Kabwe, Zambia",Kabwe Urban
"Mkushi,Zambia",-13.6211552,29.3889082,APPROXIMATE,"Mkushi, Zambia",Mkushi
"Mumbwa,Zambia",-14.9848228,27.0617553,APPROXIMATE,"Mumbwa, Zambia",Mumbwa
"Serenje,Zambia",-13.2325565,30.2339635,APPROXIMATE,"Serenje, Zambia",Serenje
"Chingola,Zambia",-12.5419553,27.8545867,APPROXIMATE,"Chingola, Zambia",Chingola
"Kalulushi,Zambia",-12.8426423,28.0947106,APPROXIMATE,"Kalulushi, Zambia",Kalulushi
"Kitwe,Zambia",-12.8231947,28.2175744,APPROXIMATE,"Kitwe, Zambia",Kitwe
"Luanshya,Zambia",-13.1435017,28.4163103,APPROXIMATE,"Luanshya, Zambia",Luanshya
"Mufulira,Zambia",-12.5502705,28.2409671,APPROXIMATE,"Mufulira, Zambia",Mufulira
"Ndola Rural,Zambia",-12.9906407,28.6498144,APPROXIMATE,"Ndola, Zambia",Ndola Rural
"Chipata,Zambia",-13.6445104,32.6447001,APPROXIMATE,"Chipata, Zambia",Chipata
"Petauke,Zambia",-14.2412572,31.3198491,APPROXIMATE,"Petauke, Zambia",Petauke
"Kawambwa,Zambia",-9.7936959,29.0809012,APPROXIMATE,"Kawambwa, Zambia",Kawambwa
"Mansa,Zambia",-11.1892053,28.8888064,APPROXIMATE,"Mansa, Zambia",Mansa
"Mwense,Zambia",-10.3575357,28.9528645,APPROXIMATE,"Mwense, Zambia",Mwense
"Nchelenge,Zambia",-9.353427,28.7402073,APPROXIMATE,"Nchelenge, Zambia",Nchelenge
"Samfya,Zambia",-11.3620219,29.5513689,APPROXIMATE,"Samfya, Zambia",Samfya
"Lusaka Urban,Zambia",-15.3875259,28.3228165,APPROXIMATE,"Lusaka, Zambia",Lusaka Urban
"Kasempa,Zambia",-13.7145854,26.2304616,APPROXIMATE,"Kasempa, Zambia",Kasempa
"Solwezi,Zambia",-12.1668712,26.3839765,APPROXIMATE,"Solwezi, Zambia",Solwezi
"Isoka,Zambia",-10.1535089,32.6362231,APPROXIMATE,"Isoka, Zambia",Isoka
"Kasama,Zambia",-10.2290555,31.193945,APPROXIMATE,"Kasama, Zambia",Kasama
"Luwingu,Zambia",-10.585487,29.8815203,APPROXIMATE,"Luwingu, Zambia",Luwingu
"Mbala,Zambia",-8.8536444,31.3655989,APPROXIMATE,"Mbala, Zambia",Mbala
"Choma,Zambia",-16.8054223,26.9970153,APPROXIMATE,"Choma, Zambia",Choma
"Kalomo,Zambia",-17.0299054,26.4783981,APPROXIMATE,"Kalomo, Zambia",Kalomo
"Livingstone,Zambia",-17.8519791,25.8285153,APPROXIMATE,"Livingstone, Zambia",Livingstone
"Mazabuka,Zambia",-15.861252,27.7490656,APPROXIMATE,"Mazabuka, Zambia",Mazabuka
"Monze,Zambia",-16.2803207,27.4732571,APPROXIMATE,"Monze, Zambia",Monze
"Kaoma,Zambia",-14.8119398,24.7973983,APPROXIMATE,"Kaoma, Zambia",Kaoma
"Senanga,Zambia",-16.1178235,23.2960171,APPROXIMATE,"Senanga, Zambia",Senanga
"Luangwa,Zambia",-15.6264925,30.4040725,APPROXIMATE,"Luangwa, Zambia",Luangwa
"Mwinilunga,Zambia",-11.7401439,24.4232735,APPROXIMATE,"Mwinilunga, Zambia",Mwinilunga
